QALD id,match status,QALD question,QueGG question,comment,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
145,0.8852459016,Qual ├¿ il prefisso di Berlino?,"""Qual ├¿ prefisso di Berlino Est?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?string 
WHERE {
 res:Berlin dbo:areaCode ?string .
}","""select ?o 
{
 <http://dbpedia.org/resource/Berlin> <http://dbpedia.org/ontology/areaCode> ?o . 
}""",1,0,0,1,1,1
146,0.8292682927,Dammi tutti gli attori che hanno recitato in Last Action Hero.,"""Dammi tutti persona Chi hanno ha recitato in Last Action Hero""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 res:Last_Action_Hero dbo:starring ?uri . 
}","""select ?o 
{
 <http://dbpedia.org/resource/Last_Action_Hero> <http://dbpedia.org/ontology/starring> ?o . 
}""",10,0,0,1,1,1
147,0.987654321,Quali sono i soprannomi di San Francisco?,"""Qual sono i soprannomi di San Francisco?""",,SELECT DISTINCT ?string WHERE { <http://dbpedia.org/resource/San_Francisco> <http://dbpedia.org/property/nickname> ?string . },"""select ?o 
{
 <http://dbpedia.org/resource/San_Francisco> <http://dbpedia.org/property/nickname> ?o . 
}""",1,0,0,1,1,1
148,0,Qual ├¿ stato il primo album dei Queen?,,,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Album> . ?uri <http://dbpedia.org/ontology/artist> <http://dbpedia.org/resource/Queen_(band)> . ?uri <http://dbpedia.org/ontology/releaseDate> ?d . } ORDER BY ASC(?d) OFFSET 0 LIMIT 1,,0,0,1,0,0,0
149,0.8602150538,Attraverso quali stati scorre il Lago Bosumtwi?,"""attraverso Quale citt´┐¢ scorreva Lago Bosumtwi?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbp: <http://dbpedia.org/property/>
SELECT DISTINCT ?uri 
WHERE {
 res:Lake_Bosumtwi dbp:country ?uri .
}","""select ?o 
{
 <http://dbpedia.org/resource/Lake_Bosumtwi> <http://dbpedia.org/property/country> ?o . 
}""",1,0,0,1,1,1
150,0.9391304348,Quali serie televisive sono state create dalla Walt Disney?,"""quale serie televisive sono state creato da Walt Disney?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
 ?uri rdf:type dbo:TelevisionShow .
 ?uri dbo:creator res:Walt_Disney .
}","""select ?s 
{
 ?s <http://dbpedia.org/ontology/creator> <http://dbpedia.org/resource/Walt_Disney> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow> . 
}""",6,0,0,1,1,1
151,0,Qual ├¿ il ponte con la campata pi├╣ lunga?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
 ?uri rdf:type dbo:Bridge .
 ?uri dbo:mainspan ?s . 
} 
ORDER BY DESC(?s) 
OFFSET 0 LIMIT 1",,0,0,1,0,0,0
152,0,Di che nazione ├¿ Sitecore?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sitecore> <http://dbpedia.org/ontology/foundationPlace> ?uri . },,0,0,0,0,0,0
153,1,Chi ha sposato Donald Trump?,"""Chi ha sposato Donald Trump?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Donald_Trump> . },"""select ?o 
{
 <http://dbpedia.org/resource/Donald_Trump> <http://dbpedia.org/ontology/spouse> ?o . 
}""",2,1,1,0.6666666667,0.6666666667,0.6666666667
154,0.8928571429,Qual ├¿ la capitale del Canada?,"""Qual ├¿ capitale di Canada?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:Canada dbo:capital ?uri .
}","""select ?o 
{
 <http://dbpedia.org/resource/Canada> <http://dbpedia.org/ontology/capital> ?o . 
}""",1,0,0,1,1,1
155,0.8041237113,Da chi fu inspirato Friedrich Wilhelm Joseph Schelling?,"""Da Chi fu ha inspirato Friedrich Schelling""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/influenced> <http://dbpedia.org/resource/Friedrich_Wilhelm_Joseph_Schelling> . },"""select ?s 
{
 ?s <http://dbpedia.org/ontology/influenced> <http://dbpedia.org/resource/Friedrich_Wilhelm_Joseph_Schelling> . 
}""",6,0,0,1,1,1
156,0.8888888889,In quale citt├á mor├¼ John Fitzgerald Kennedy?,"""a quale citt´┐¢ ├¿ morto John Fitzgerald Kennedy?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE { 
 res:John_F._Kennedy dbo:deathPlace ?uri .
 ?uri rdf:type dbo:City .
}","""select ?o 
{
 <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/deathPlace> ?o . 
}""",1,0,0,1,1,1
158,0.7951807229,Chi ha scritto Il Trono di Spade?,"""chi ha scritto Il Trono di Spade serie televisiva?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Game_of_Thrones> <http://dbpedia.org/ontology/composer> ?uri. },"""select ?o 
{
 <http://dbpedia.org/resource/Game_of_Thrones> <http://dbpedia.org/ontology/composer> ?o . 
}""",1,0,0,1,1,1
159,0.96,Chi ha progettato il ponte di Brooklyn?,"""Chi ha progettato Ponte di Brooklyn?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri 
WHERE {
 res:Brooklyn_Bridge dbo:architect ?uri .
}","""select ?o 
{
 <http://dbpedia.org/resource/Brooklyn_Bridge> <http://dbpedia.org/ontology/architect> ?o . 
}""",1,0,0,1,1,1
160,0,Boris Becker quando ha concluso la sua carriera?,,,SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Boris_Becker> <http://dbpedia.org/ontology/activeYearsEndDate> ?d . },,0,0,1,0,0,0
161,0.9367088608,Quali tipi di uva crescono in Oregon?,"""Quali tipi di uva crescono in Oregon wine?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Oregon_wine> <http://dbpedia.org/ontology/growingGrape> ?uri . },"""select ?o 
{
 <http://dbpedia.org/resource/Oregon_wine> <http://dbpedia.org/ontology/growingGrape> ?o . 
}""",84,0,0,1,1,1
162,0.9655172414,Quanto ├¿ alto Michael Jordan?,"""quanto ├¿ alta Michael Jordan?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num 
WHERE {
 res:Michael_Jordan dbo:height ?num .
}","""select ?o 
{
 <http://dbpedia.org/resource/Michael_Jordan> <http://dbpedia.org/ontology/height> ?o . 
}""",1,0,0,1,1,1
163,0,A quale partito polito appartiene il sindaco di Parigi?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?x . ?x <http://dbpedia.org/ontology/party> ?uri . },,0,0,1,0,0,0
164,0.967032967,Chi ha scritto il libro I pilastri della Terra?,"""chi ha scritto libro I pilastri della Terra?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:The_Pillars_of_the_Earth dbo:author ?uri .
}","""select ?o 
{
 <http://dbpedia.org/resource/The_Pillars_of_the_Earth> <http://dbpedia.org/ontology/author> ?o . 
}""",1,0,0,1,1,1
165,0.7058823529,Chi ├¿ stato il sedicesimo presidente degli Stati Uniti?,"""Chi ├¿ vice presidente di Stati Uniti d'America?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
 ?uri dbo:office 'President of the United States' .
 ?uri dbo:orderInOffice '16th' .
}","""select ?o 
{
 <http://dbpedia.org/resource/United_States> <http://dbpedia.org/ontology/vicePresident> ?o . 
}""",0,0,0,0,0,0
166,0.8888888889,Quanto ├¿ alto il Monte Kilimangiaro?,"""quanto ├¿ alto montagna Kilimangiaro?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num 
WHERE {
 res:Mount_Kilimanjaro dbo:elevation ?num.
}","""select ?o 
{
 <http://dbpedia.org/resource/Mount_Kilimanjaro> <http://dbpedia.org/ontology/elevation> ?o . 
}""",1,0,0,1,1,1
167,0.7857142857,Chi era il supervisore della tesi di dottorato di Albert Einstein?,"""Chi era tutor di dottorato di Albert Einstein?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Albert_Einstein> <http://dbpedia.org/ontology/doctoralAdvisor> ?uri . },"""select ?o 
{
 <http://dbpedia.org/resource/Albert_Einstein> <http://dbpedia.org/ontology/doctoralAdvisor> ?o . 
}""",1,0,0,1,1,1
168,0.8,In quale citt├á vive Bruny Surin?,"""a quali citt´┐¢ morire Bruny Surin?""",,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/City> . <http://dbpedia.org/resource/Bruny_Surin> <http://dbpedia.org/ontology/residence> ?uri . },"""select ?o 
{
 <http://dbpedia.org/resource/Bruny_Surin> <http://dbpedia.org/ontology/deathPlace> ?o . 
}""",0,0,1,0,0,0
169,0.96,Qual ├¿ la valuta della Repubblica Ceca?,"""qual ├¿ valuta della Repubblica Ceca?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 res:Czech_Republic dbo:currency ?uri .
}","""select ?o 
{
 <http://dbpedia.org/resource/Czech_Republic> <http://dbpedia.org/ontology/currency> ?o . 
}""",1,0,0,1,1,1
171,0.880952381,In quale fuso orario si trova Salt Lake City?,"""in quale stato si trova Salt Lake City?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbp: <http://dbpedia.org/property/>
SELECT DISTINCT ?uri 
WHERE {
 res:Salt_Lake_City dbp:timezone ?uri . 
}","""select ?o 
{
 <http://dbpedia.org/resource/Salt_Lake_City> <http://dbpedia.org/ontology/country> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . 
}""",0,1,1,0,0,0
172,0.7692307692,Chi ├¿ il figlio di Sonny e Cher,"""Chi ├¿ figlio di Cher?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Cher> . ?uri <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Sonny_Bono> . },"""select ?o 
{
 <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/child> ?o . 
}""",1,1,0,0.5,1,0.6666666667
173,0.9365079365,In quale citt├á si trova il Ufficio delle Nazioni Unite a New York?,"""in quale citt´┐¢ trova Ufficio delle Nazioni Unite a New York?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Headquarters_of_the_United_Nations> <http://dbpedia.org/ontology/location> ?uri . ?uri a <http://dbpedia.org/ontology/City> . },"""select ?o 
{
 <http://dbpedia.org/resource/Headquarters_of_the_United_Nations> <http://dbpedia.org/ontology/location> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . 
}""",1,0,0,1,1,1
174,0.9565217391,Chi ├¿ il fondatore di Penguin Books?,"""Chi ├¿ fondatore di Penguin Books?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
 res:Penguin_Books dbo:founder ?uri .
}","""select ?o 
{
 <http://dbpedia.org/resource/Penguin_Books> <http://dbpedia.org/ontology/foundedBy> ?o . 
}""",0,0,1,0,0,0
175,0.976744186,Quando ├¿ stata fondata Seagate Technology?,"""Quando ├¿ ´┐¢ stata fondata Seagate Technology?""",,SELECT DISTINCT ?year WHERE { <http://dbpedia.org/resource/Seagate_Technology> <http://dbpedia.org/ontology/foundingYear> ?year . },"""select ?o 
{
 <http://dbpedia.org/resource/Seagate_Technology> <http://dbpedia.org/ontology/foundingYear> ?o . 
}""",1,0,0,1,1,1
176,0.9387755102,Chi ├¿ il sindaco di Mosca?,"""chi ├¿ sindaco di Mosca?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 res:Moscow dbo:leaderName ?uri .
}","""select ?o 
{
 <http://dbpedia.org/resource/Moscow> <http://dbpedia.org/ontology/leaderName> ?o . 
}""",1,0,0,1,1,1
177,0,Dammi tutti gli oceanografi svedesi.,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 ?uri dbo:field res:Oceanography . 
 ?uri dbo:birthPlace res:Sweden . 
}",,0,0,0,0,0,0
178,0.8169014085,Mostrami l'autobiografia di Hemingway.,"""Mostrami l' autobiografia di IYCM""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Ernest_Hemingway> . ?uri <http://dbpedia.org/ontology/literaryGenre> <http://dbpedia.org/resource/Autobiography> . },"""select ?o 
{
 <'IYCM'> <http://dbpedia.org/ontology/literaryGenre> ?o . 
}""",0,0,1,0,0,0
179,0.7368421053,Chi sono i genitori della moglie di Juan Carlos I?,"""Chi sono genitori di Juan Carlos I di Spagna?""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
 res:Juan_Carlos_I_of_Spain dbo:spouse ?x . 
 ?x dbo:parent ?uri . 
}","""select ?o 
{
 <http://dbpedia.org/resource/Juan_Carlos_I_of_Spain> <http://dbpedia.org/ontology/parent> ?o . 
}""",0,0,0,0,0,0
181,0.8888888889,Chi ├¿ il giocatore di pallacanestro pi├╣ alto?,"""chi ├¿ giocatore di pallacanestro il pi´┐¢ alta?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BasketballPlayer> . ?uri <http://dbpedia.org/ontology/height> ?num . } ORDER BY DESC(?num) OFFSET 0 LIMIT 1,"""SELECT DISTINCT ?subjOfProp WHERE 
{
 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BasketballPlayer> . ?subjOfProp <http://dbpedia.org/ontology/height> ?num . 
} ORDER BY DESC(?num) LIMIT 1""",1,0,0,1,1,1
182,0,Quale citt├á ha il minor numero di abitanti?,,,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . ?uri <http://dbpedia.org/ontology/populationTotal> ?pop . } ORDER BY ASC(?pop) OFFSET 0 LIMIT 1,,0,0,1,0,0,0
184,0.7142857143,Chi sono i genitori della regina Vittoria?,"""Chi sono genitori di Italia?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 res:Queen_Victoria dbo:parent ?uri .
}","""select ?o 
{
 <http://dbpedia.org/resource/Italy> <http://dbpedia.org/ontology/parent> ?o . 
}""",0,0,2,0,0,0
188,0,Dammi tutti i libri di Wiliam Goldman con pi├╣ di 300 pagine.,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
 ?uri rdf:type dbo:Book .
 ?uri dbo:author res:William_Goldman .
 ?uri dbo:numberOfPages ?x .
 FILTER (?x > 300)
}",,0,0,10,0,0,0
189,0.96,Dove si trova Fort Knox?,"""Dove si trovava Fort Knox?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fort_Knox> <http://dbpedia.org/property/location> ?uri . },"""select ?o 
{
 <http://dbpedia.org/resource/Fort_Knox> <http://dbpedia.org/property/location> ?o . 
}""",1,0,0,1,1,1
190,0.7948717949,In quale stato americano si trova Fort Knox?,"""in quale luogo si trova Fort Knox?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 res:Fort_Knox dbp:location ?uri .
 ?uri dbo:country res:United_States .
}","""select ?o 
{
 <http://dbpedia.org/resource/Fort_Knox> <http://dbpedia.org/property/location> ?o . 
}""",1,0,0,1,1,1
191,0.9642857143,Dove ├¿ sepolto Syngman Rhee?,"""Dove ´┐¢ sepolto Syngman Rhee?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Syngman_Rhee> <http://dbpedia.org/ontology/restingPlace> ?uri . },"""select ?o 
{
 <http://dbpedia.org/resource/Syngman_Rhee> <http://dbpedia.org/ontology/restingPlace> ?o . 
}""",3,0,0,1,1,1
192,0.9662921348,Qual ├¿ il fuso orario di San Pedro de Atacama?,"""Qual ├¿ fuso orario di San Pedro de Atacama?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/San_Pedro_de_Atacama> <http://dbpedia.org/ontology/timeZone> ?uri . },"""select ?o 
{
 <http://dbpedia.org/resource/San_Pedro_de_Atacama> <http://dbpedia.org/ontology/timeZone> ?o . 
}""",1,0,0,1,1,1
193,0,A quale movimento artistico apparteneva il pittore de I tre ballerini?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Three_Dancers> <http://dbpedia.org/ontology/author> ?person . ?person <http://dbpedia.org/ontology/movement> ?uri . },,0,0,2,0,0,0
194,0,Quale scienziato ├¿ conosciuto per il progetto Manhattan e per il premio Nobel per la pace?,,,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
 ?uri dbo:knownFor res:Manhattan_Project .
 ?uri rdf:type dbo:Scientist .
 ?uri dbo:knownFor res:Nobel_Peace_Prize .
}",,0,0,0,0,0,0
195,0.8842105263,Mostrami tutti i libri del Ciclo della Fondazione,"""Dammi tutti i libri del Ciclo delle Fondazioni""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/series> <http://dbpedia.org/resource/Foundation_series> . },"""select ?s 
{
 ?s <http://dbpedia.org/ontology/series> <http://dbpedia.org/resource/Foundation_series> . 
}""",12,0,0,1,1,1
196,0,Dammi tutte le citt├á del New Jersey con pi├╣ di 100000 abitanti.,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
 ?uri rdf:type dbo:City .
 ?uri dbo:isPartOf res:New_Jersey .
 ?uri dbp:populationTotal ?inhabitants .
 FILTER (?inhabitants > 100000) .
}",,0,0,0,0,0,0
197,0,Quale museo di New York ha il maggior numero di visitatori?,,,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Museum> . ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/New_York_City> . ?uri <http://dbpedia.org/ontology/numberOfVisitors> ?num . } ORDER BY DESC(?num) OFFSET 0 LIMIT 1,,0,0,1,0,0,0
198,0.835443038,Quanto ├¿ alta la torre di Yokohama?,"""Quanto ├¿ alta ├¿ Torre marittima di Yokohama?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num
WHERE {
 res:Yokohama_Marine_Tower dbo:height ?num .
}","""select ?o 
{
 <http://dbpedia.org/resource/Yokohama_Marine_Tower> <http://dbpedia.org/ontology/height> ?o . 
}""",1,0,0,1,1,1
200,0.9090909091,Chi ├¿ il giocatore di freccette pi├╣ giovane?,"""chi ├¿ giocatore di freccette il pi´┐¢ giovane?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
 ?uri rdf:type dbo:DartsPlayer .
 ?uri dbo:birthDate ?date .
}
ORDER BY DESC(?date)
OFFSET 0 LIMIT 1","""SELECT DISTINCT ?subjOfProp WHERE 
{
 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/DartsPlayer> . ?subjOfProp <http://dbpedia.org/ontology/birthDate> ?num . 
} ORDER BY DESC(?num) LIMIT 1""",1,0,0,1,1,1
201,0.9662921348,Chi ha creato il videogioco World of Warcraft?,"""chi ha creato videogioco World of Warcraft?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:World_of_Warcraft dbo:developer ?uri . 
}","""select ?o 
{
 <http://dbpedia.org/resource/World_of_Warcraft> <http://dbpedia.org/ontology/developer> ?o . 
}""",1,0,0,1,1,1
202,0.8333333333,Quale papa ha fondato la Vatican Media?,"""Quale fondatore ha Vatican Media?""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT ?uri 
WHERE { 
 ?uri rdf:type dbo:Pope . 
 res:Vatican_Media dbo:foundedBy ?uri .
}","""select ?o 
{
 <http://dbpedia.org/resource/Vatican_Media> <http://dbpedia.org/ontology/foundedBy> ?o . 
}""",1,0,0,1,1,1
203,0.7450980392,Chi ha composto la musica per La divorziata?,"""Chi ha composto la colonna sonora La divorziata film 1972?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri 
WHERE {
 res:Hearth_Fires dbo:musicComposer ?uri .
}","""select ?o 
{
 <http://dbpedia.org/resource/Hearth_Fires> <http://dbpedia.org/ontology/musicComposer> ?o . 
}""",1,0,0,1,1,1
204,0.9117647059,Dammi tutti i membri dei Prodigy.,"""Dammi tutti i membri di The Prodigy""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Prodigy> <http://dbpedia.org/ontology/bandMember> ?uri . },"""select ?o 
{
 <http://dbpedia.org/resource/The_Prodigy> <http://dbpedia.org/ontology/bandMember> ?o . 
}""",2,0,0,1,1,1
205,0.7234042553,Chi recita nei film spagnoli prodotti da Benicio del Toro?,"""Chi erano figli di Benicio del Toro?""",,SELECT DISTINCT ?uri WHERE { ?film <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?film <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Spain> . ?film <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Benicio_del_Toro> . ?film <http://dbpedia.org/ontology/starring> ?uri . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person> . },"""select ?o 
{
 <http://dbpedia.org/resource/Benicio_del_Toro> <http://dbpedia.org/ontology/child> ?o . 
}""",0,0,1,0,0,0
206,0,Quale societ├á sussidiaria di TUI Travel serve sia Dortmund che Dublino?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/TUI_Travel> <http://dbpedia.org/ontology/subsidiary> ?uri . ?uri <http://dbpedia.org/ontology/targetAirport> <http://dbpedia.org/resource/Glasgow_Airport> . ?uri <http://dbpedia.org/ontology/targetAirport> <http://dbpedia.org/resource/Dublin_Airport> . },,0,0,1,0,0,0
207,1,In quale stato si trova La Mecca?,"""in quale stato si trova La Mecca?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri 
WHERE { 
 res:Mecca dbo:country ?uri .
}","""select ?o 
{
 <http://dbpedia.org/resource/Mecca> <http://dbpedia.org/ontology/country> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . 
}""",1,0,0,1,1,1
208,0.8831168831,Quante lingue sono parlate in Colombia?,"""quante Lingua sono parlato in Polonia?""",,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Language> . <http://dbpedia.org/resource/Colombia> <http://dbpedia.org/ontology/language> ?uri . },"""select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE 
{
 <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/language> ?objOfProp . 
}""",1,0,0,1,1,1
209,0.8421052632,Qual ├¿ lo stadio pi├╣ grande in Spagna?,"""Qual ├¿ stadio il pi´┐¢ grande de Spagna?""",,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Stadium> . ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Spain> . ?uri <http://dbpedia.org/ontology/seatingCapacity> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,"""SELECT DISTINCT ?subjOfProp WHERE 
{
 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Stadium> . ?subjOfProp <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Spain> . ?subjOfProp <http://dbpedia.org/ontology/seatingCapacity> ?num . 
} ORDER BY DESC(?num) LIMIT 1""",1,0,0,1,1,1
210,0.8378378378,Quali attori sono nati nelle Filippine?,"""a quale attore sono nati Filippine?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 ?uri dbo:occupation res:Actor .
 ?uri dbo:birthPlace res:Philippines .
}","""select ?s 
{
 ?s <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Philippines> . ?s <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Actor> . 
}""",238,0,0,1,1,1
211,0.7628865979,Quali sono i quartieri di Monarchia costituzionale?,"""Qual sono quartieri di Monarchia parlamentare?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/governmentType> <http://dbpedia.org/resource/Constitutional_monarchy> . },"""select ?s 
{
 ?s <http://dbpedia.org/ontology/governmentType> <http://dbpedia.org/resource/Constitutional_monarchy> . 
}""",141,0,0,1,1,1
